ano,amazonia_legal,area_colhida_ha,area_plantada_ha,producao_t,produtividade_t_ha
2000,False,10500058,10535720,23407947,2.2293159713974915
2000,True,3156713,3157957,9412879,2.9818608787051595
2001,False,10544955,10548128,27623291,2.619574099652393
2001,True,3440144,3440223,10283968,2.9894004437023565
2002,False,12163141,12179525,29523500,2.42729242388952
2002,True,4196300,4196510,12584118,2.9988604246598194
2003,False,13627768,13629268,37749829,2.770066895767524
2003,True,4897001,4898276,14169611,2.8935283043642426
2004,False,15583944,15629794,33201383,2.1304865443561654
2004,True,5955046,5971546,16348558,2.745328583523956
2005,False,15972067,16434829,31078440,1.9457995010914992
2005,True,6976807,6991927,20103634,2.881494930273978
2006,False,15370780,15385034,34763719,2.261675659920967
2006,True,6676569,6697632,17700921,2.6512001897980833
2007,False,14681431,14686755,40362174,2.749198903022464
2007,True,5883848,5884638,17494998,2.9733939421956515
2008,False,14703093,14709228,39475971,2.684875284404445
2008,True,6543209,6543493,20357134,3.111185046970072
2009,False,15056052,15067366,36843467,2.4470868591580315
2009,True,6694416,6694416,20501915,3.0625397346086647
2010,False,16092362,16103148,47111941,2.927596396352506
2010,True,7234934,7235946,21644402,2.99165161700162
2011,False,16399088,16461165,50655404,3.0889159202023917
2011,True,7569575,7571245,24160043,3.1917304472179744
2012,False,16811779,16927080,40343773,2.3997325327676506
2012,True,8163479,8163479,25505084,3.124291003872246
2013,False,18567414,18591092,54207065,2.919473061784479
2013,True,9339261,9357513,27517412,2.9464228486600814
2014,False,19866282,19879948,55062373,2.771649622209128
2014,True,10407481,10428283,31698147,3.045707890314669
2015,False,21096572,21104472,63428938,3.006599271199131
2015,True,11084671,11101915,34035998,3.0705465232121005
2016,False,21829389,21922492,64974390,2.976463977072377
2016,True,11353730,11416813,31420430,2.7674103576533877
2017,False,22306248,22327634,77148799,3.4586183655808007
2017,True,11653631,11676727,37583302,3.225029349221715
2018,False,22694487,22754431,78422716,3.4555844333471826
2018,True,12083449,12083920,39489734,3.2680846337829537
2019,False,23393609,23441142,73713571,3.151013210488386
2019,True,12501598,12502952,40603258,3.247845435439533
2020,False,24259304,24272878,77426805,3.191633403827249
2020,True,12932334,12932584,44394144,3.4328021531148205
2021,False,25403107,25407866,89198882,3.5113374911187045
2021,True,13723162,13736080,45600297,3.322870997223526
2022,False,26521755,26767271,71557561,2.698070357711999
2022,True,14529151,14530392,49732542,3.422948938998569
2023,False,28295784,28301484,94148576,3.327300491126169
2023,True,16121768,16122499,57995662,3.5973512334379207
2024,False,28999034,29252814,91607780,3.158994192703109
2024,True,16907868,16955984,52865988,3.1267092929753177
